코드,거래금액,리
5011025023,400000.0,대림리
5011025024,29800.0,한림리
5011025025,20500.0,금악리
5011025028,16250.0,옹포리
5011025033,19000.0,금능리
5011025034,28000.0,월림리
5011025321,70000.0,광령리
5011025326,148990.0,신엄리
5011025331,17000.0,상가리
5011025333,30000.0,고내리
5011025334,137500.0,애월리
5011025338,65000.0,금성리
5011025340,42000.0,하귀1리
5011025341,69649.0,하귀2리
5011025628,20500.0,세화리
5011025630,27500.0,한동리
5011025631,53000.0,하도리
5011025633,20500.0,평대리
5011025634,18000.0,김녕리
5011025921,28167.0,신촌리
5011025923,36333.0,조천리
5011025924,45686.0,함덕리
5011025926,11200.0,대흘리
5011025930,54000.0,선흘리
5011031021,5300.0,청수리
5011031022,72000.0,용수리
5011031023,31500.0,고산리
5011031024,113000.0,판포리
5011031027,51000.0,두모리
5011032021,15000.0,대서리
5011032025,2500.0,신양리
5013025021,24700.0,상모리
5013025022,16000.0,하모리
5013025023,32799.0,안성리
5013025025,28750.0,일과리
5013025029,27275.0,보성리
5013025327,27138.0,위미리
5013025926,231100.0,온평리
5013025927,46000.0,신산리
5013025928,44700.0,삼달리
5013031025,44754.0,사계리
5013031027,53200.0,서광리
5013031028,46000.0,동광리
5013032021,29000.0,표선리
5013032022,16000.0,하천리
5013032023,25000.0,성읍리
5013032024,35000.0,가시리
5013032026,75000.0,토산리
